14:27:37.642 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
14:29:44.810 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
14:29:44.814 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
14:34:55.039 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
14:34:55.044 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
14:37:53.216 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
14:37:53.220 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
14:38:52.965 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
14:38:52.969 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
14:48:44.132 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
14:48:44.136 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
15:17:29.593 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:17:29.598 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
15:23:32.109 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:23:32.114 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
15:25:29.716 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:25:29.722 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
15:26:10.853 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
15:26:10.858 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
20:34:38.669 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
20:34:38.672 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
20:42:18.917 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
20:42:18.919 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
20:45:59.754 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
20:45:59.757 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
20:46:56.817 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
20:46:56.820 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
20:47:34.030 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
20:47:34.035 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
13:11:31.223 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
13:11:31.227 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
14:10:47.156 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
14:10:47.161 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
16:07:43.133 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
16:07:43.138 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
16:10:36.664 [main] INFO  c.b.config.BrowserStackConfig - Detected Framework testng
16:10:36.669 [main] INFO  c.b.config.BrowserStackConfig - parallelsPerPlatform was not defined and has been set to 1 (Default)
